scenario_id,FractureAgent,LLaMA-3.1-8B-FT,GPT-4o_5shot,GPT-4o_0shot,Qwen3.5_base,Static
s085,1,1,1,0,1,0
s086,1,1,1,1,0,1
s087,0,1,1,1,0,1
s088,1,1,1,1,1,1
s089,1,1,1,1,1,1
s090,1,1,1,1,0,1
s091,1,1,1,0,0,1
s092,1,1,1,0,1,1
s093,1,1,1,1,0,1
s094,1,1,1,1,1,0
s095,1,1,1,1,0,1
s096,1,0,1,0,1,1
s097,1,1,1,1,0,1
s098,1,0,1,1,0,1
s099,1,1,1,1,1,0
s100,1,0,1,1,1,1
s101,1,1,1,1,1,0
s102,1,1,1,0,1,0
s103,1,1,0,0,0,1
s104,1,1,0,1,1,1
s105,1,1,1,1,1,1
s106,1,1,1,1,1,0
s107,0,1,0,0,0,0
s108,1,1,1,1,0,0
s109,1,1,1,0,1,0
s110,0,1,1,1,1,0
s111,1,1,1,1,1,0
s112,1,1,0,0,0,1
s113,1,1,1,1,1,0
s114,1,1,1,0,1,1
s115,1,1,0,1,0,0
s116,1,0,1,1,0,1
s117,1,1,0,1,1,1
s118,1,1,1,1,1,0
s119,1,1,0,1,1,0
s120,1,1,1,1,1,1
s121,1,0,0,0,1,1
s122,1,1,1,1,0,0
s123,1,1,1,0,1,1
s124,0,1,1,1,1,0
s125,1,1,0,0,0,0
s126,1,1,1,1,0,1
s127,1,1,0,0,0,1
s128,1,1,1,0,1,0
s129,1,1,1,1,0,1
s130,1,1,1,1,1,1
s131,1,0,1,1,0,1
s132,1,1,1,0,1,1
s133,1,1,1,1,1,0
s134,1,1,0,0,0,1
s135,1,0,1,1,1,0
s136,1,1,1,0,1,1
s137,1,1,1,1,1,0
s138,0,1,1,0,1,0
s139,1,1,0,0,1,1
s140,1,1,1,0,1,0
s141,1,0,0,0,0,1
s142,1,1,0,1,1,0
s143,1,1,1,1,0,0
s144,1,1,1,1,1,1
s145,0,1,0,1,1,1
s146,1,1,1,1,1,0
s147,1,1,1,1,1,0
s148,0,1,1,1,1,1
s149,1,1,0,1,0,1
s150,1,1,1,1,1,0
s151,1,0,1,0,0,0
s152,1,1,1,1,1,0
s153,0,1,0,0,0,1
s154,0,1,1,1,0,1
s155,1,0,1,0,0,0
s156,1,1,1,1,1,1
s157,1,1,1,1,1,1
s158,1,1,0,0,0,1
s159,1,1,1,1,1,0
s160,1,1,0,1,0,1
s161,1,0,1,1,1,1
s162,1,1,0,1,0,1
s163,1,0,1,1,1,1
s164,1,1,1,1,1,0
s165,1,1,1,0,0,0
s166,1,1,1,1,0,1
s167,1,1,1,0,1,0
s168,1,1,1,0,1,0
s169,1,1,1,1,0,1
s170,1,1,0,1,1,1
s171,1,0,0,1,1,1
s172,1,1,1,0,1,0
s173,0,0,1,1,0,0
s174,1,1,0,0,1,1
s175,1,1,0,1,1,1
s176,1,1,0,1,1,1
s177,1,1,1,1,1,1
s178,0,0,0,0,0,0
s179,1,1,0,1,1,0
s180,1,1,1,1,0,0
s181,1,1,1,1,1,1
s182,0,0,1,0,0,0
s183,1,1,1,0,0,0
s184,1,1,1,1,1,1
s185,1,1,0,0,0,0
s186,1,0,0,1,0,0
s187,1,1,1,1,1,1
s188,1,1,0,0,0,0
s189,1,1,1,1,0,1
s190,1,1,1,1,0,0
s191,1,0,1,0,0,0
s192,1,1,0,0,0,0
s193,1,1,0,1,0,1
s194,0,1,1,1,1,1
s195,1,1,0,1,0,1
s196,1,0,0,0,0,0
s197,1,1,1,1,1,1
s198,1,1,1,0,1,0
s199,1,1,0,0,1,0
s200,1,1,1,0,1,0
s201,1,1,1,1,1,1
s202,1,1,1,1,1,0
s203,1,1,1,1,1,1
s204,1,1,0,1,1,1
s205,1,1,1,1,0,1
s206,1,0,1,1,0,0
s207,1,1,0,1,1,1
s208,1,1,1,1,0,1
s209,1,1,0,1,0,1
